區域,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月,交易年,交易月,交易日,交易西曆,交易屋齡(years),交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建築完成年,建築完成月,建築完成日,建築完成西曆,today,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,每平方公尺單價,車位類別,車位,車位移轉總面積平方公尺,車位總價元
台北市,北投區,房地(土地+建物)+車位,臺北市北投區長壽路29巷1~50號,53.2,住,10202,2013,2,1,2013/2/1,0.89,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010306,2012,3,6,2012/3/6,2015/9/18,3.48,144.22,3,2,2,有,無,20090000,145172,升降平面,有,18.92,1900000
台北市,文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段203巷101~150號,44.11,住,10202,2013,2,1,2013/2/1,0.08,土地2建物1車位2,五層,11,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020103,2013,1,3,2013/1/3,2015/9/18,2.67,249.64,3,2,2,有,有,23760000,95177,坡道平面,有,85.3,0
台北市,士林區,房地(土地+建物),臺北市士林區故宮路7巷1~50號,46,住,10203,2013,3,1,2013/3/1,48.3,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,530310,1964,3,10,1964/3/10,2015/9/18,50.82,81.6,2,2,2,有,無,15500000,189951,,無,0,0
台北市,北投區,房地(土地+建物),臺北市北投區知行路251~300號,91,商,10203,2013,3,1,2013/3/1,43.04,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,580710,1969,7,10,1969/7/10,2015/9/18,45.56,147.4,5,3,3,有,無,15000000,101764,,無,0,0
台北市,信義區,房地(土地+建物),臺北市信義區基隆路二段79巷1~50號,28.75,住,10203,2013,3,1,2013/3/1,42.82,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,581001,1969,10,1,1969/10/1,2015/9/18,45.33,68.19,1,1,1,有,無,6750000,98988,,無,0,0
台北市,信義區,房地(土地+建物),臺北市信義區福德街51~100號,30.5,住,10203,2013,3,1,2013/3/1,42.77,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,581020,1969,10,20,1969/10/20,2015/9/18,45.28,84.19,4,3,2,有,無,15300000,181732,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區中山北路一段140巷1~50號,13.86,商,10203,2013,3,1,2013/3/1,41.98,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,590810,1970,8,10,1970/8/10,2015/9/18,44.49,45.62,2,1,1,有,無,7500000,164402,,無,0,0
台北市,萬華區,房地(土地+建物),臺北市萬華區萬大路486巷51~100號,48,住,10203,2013,3,1,2013/3/1,40.5,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,610209,1972,2,9,1972/2/9,2015/9/18,43.01,133.55,3,1,1,有,無,12500000,93598,,無,0,0
台北市,信義區,房地(土地+建物),臺北市信義區基隆路一段147巷5弄1~50號,33.75,住,10203,2013,3,1,2013/3/1,37.28,土地2建物1車位0,一層，平台,4,店面(店鋪),住家用,鋼筋混凝土造,640513,1975,5,13,1975/5/13,2015/9/18,39.79,101.14,4,3,2,有,無,52000000,514139,,無,0,0
台北市,萬華區,房地(土地+建物),臺北市萬華區德昌街185巷60弄1~50號,36.5,住,10203,2013,3,1,2013/3/1,37.22,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640606,1975,6,6,1975/6/6,2015/9/18,39.73,91.59,3,2,1,有,無,8700000,94989,,無,0,0
台北市,士林區,房地(土地+建物),臺北市士林區中社路二段101~150號,97.44,住,10203,2013,3,1,2013/3/1,36.65,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650103,1976,1,3,1976/1/3,2015/9/18,39.16,103.75,3,2,1,有,無,7000000,67470,,無,0,0
台北市,松山區,房地(土地+建物),臺北市松山區民生東路五段137巷1~50號,25.41,商,10203,2013,3,1,2013/3/1,35.62,土地1建物1車位0,八層，陽台,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660119,1977,1,19,1977/1/19,2015/9/18,38.13,216.38,4,2,2,有,有,42800000,197800,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~50號,9.79,商,10203,2013,3,1,2013/3/1,34.64,土地1建物1車位0,五層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,670116,1978,1,16,1978/1/16,2015/9/18,37.16,83.86,2,2,2,有,無,11800000,140711,,無,0,0
台北市,大同區,房地(土地+建物),臺北市大同區涼州街72巷1~50號,11.49,其他,10203,2013,3,1,2013/3/1,34.53,土地3建物1車位0,三層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,670227,1978,2,27,1978/2/27,2015/9/18,37.04,57.99,4,0,4,有,無,6150000,106053,,無,0,0
台北市,北投區,房地(土地+建物),臺北市北投區立農街二段289巷1~50號,35.4,其他,10203,2013,3,1,2013/3/1,33.82,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671117,1978,11,17,1978/11/17,2015/9/18,36.33,106.46,3,2,1,有,無,14500000,136201,,無,0,0
台北市,萬華區,房地(土地+建物),臺北市萬華區西寧南路1~50號,9.02,其他,10203,2013,3,1,2013/3/1,33.74,土地1建物1車位0,五層，六層,10,華廈(10層含以下有電梯),商業用,預力混凝土造,671215,1978,12,15,1978/12/15,2015/9/18,36.25,83.27,2,2,2,有,有,7300000,87667,,無,0,0
台北市,松山區,房地(土地+建物),臺北市松山區敦化北路238巷1~50號,29.88,住,10203,2013,3,1,2013/3/1,33.73,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671220,1978,12,20,1978/12/20,2015/9/18,36.24,103.27,3,1,2,有,無,9355000,90588,,無,0,0
台北市,北投區,房地(土地+建物),臺北市北投區致遠一路二段45巷1~50號,32,住,10203,2013,3,1,2013/3/1,33.5,土地2建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680312,1979,3,12,1979/3/12,2015/9/18,36.02,94.61,3,2,2,有,無,5628044,59487,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區復興北路51~100號,11.42,商,10203,2013,3,1,2013/3/1,33.39,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680425,1979,4,25,1979/4/25,2015/9/18,35.9,106.53,1,1,1,有,有,22500000,211208,,無,0,0
台北市,松山區,房地(土地+建物),臺北市松山區民權東路三段160巷19弄1~50號,30.39,住,10203,2013,3,1,2013/3/1,32.67,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690115,1980,1,15,1980/1/15,2015/9/18,35.19,173.87,4,2,2,有,無,38100000,219129,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區長春路51~100號,11.94,商,10203,2013,3,1,2013/3/1,32.63,土地1建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,690201,1980,2,1,1980/2/1,2015/9/18,35.14,112.37,3,2,2,有,有,17000000,151286,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區長春路51~100號,5.36,商,10203,2013,3,1,2013/3/1,32.63,土地1建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,690201,1980,2,1,1980/2/1,2015/9/18,35.14,45.3,2,1,1,有,有,7000000,154525,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區長春路51~100號,4.59,商,10203,2013,3,1,2013/3/1,32.63,土地1建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,690201,1980,2,1,1980/2/1,2015/9/18,35.14,39.75,2,1,1,有,有,6000000,150943,,無,0,0
